"","country","continent","year","lifeExp","pop","gdpPercap"
"1","Madagascar","Africa",1952,36.681,4762912,1443.011715
"2","Madagascar","Africa",1957,38.865,5181679,1589.20275
"3","Madagascar","Africa",1962,40.848,5703324,1643.38711
"4","Madagascar","Africa",1967,42.881,6334556,1634.047282
"5","Madagascar","Africa",1972,44.851,7082430,1748.562982
"6","Madagascar","Africa",1977,46.881,8007166,1544.228586
"7","Madagascar","Africa",1982,48.969,9171477,1302.878658
"8","Madagascar","Africa",1987,49.35,10568642,1155.441948
"9","Madagascar","Africa",1992,52.214,12210395,1040.67619
"10","Madagascar","Africa",1997,54.978,14165114,986.2958956
"11","Madagascar","Africa",2002,57.286,16473477,894.6370822
"12","Madagascar","Africa",2007,59.443,19167654,1044.770126
"13","Malawi","Africa",1952,36.256,2917802,369.1650802
"14","Malawi","Africa",1957,37.207,3221238,416.3698064
"15","Malawi","Africa",1962,38.41,3628608,427.9010856
"16","Malawi","Africa",1967,39.487,4147252,495.5147806
"17","Malawi","Africa",1972,41.766,4730997,584.6219709
"18","Malawi","Africa",1977,43.767,5637246,663.2236766
"19","Malawi","Africa",1982,45.642,6502825,632.8039209
"20","Malawi","Africa",1987,47.457,7824747,635.5173634
"21","Malawi","Africa",1992,49.42,10014249,563.2000145
"22","Malawi","Africa",1997,47.495,10419991,692.2758103
"23","Malawi","Africa",2002,45.009,11824495,665.4231186
"24","Malawi","Africa",2007,48.303,13327079,759.3499101
"25","Malaysia","Asia",1952,48.463,6748378,1831.132894
"26","Malaysia","Asia",1957,52.102,7739235,1810.066992
"27","Malaysia","Asia",1962,55.737,8906385,2036.884944
"28","Malaysia","Asia",1967,59.371,10154878,2277.742396
"29","Malaysia","Asia",1972,63.01,11441462,2849.09478
"30","Malaysia","Asia",1977,65.256,12845381,3827.921571
"31","Malaysia","Asia",1982,68,14441916,4920.355951
"32","Malaysia","Asia",1987,69.5,16331785,5249.802653
"33","Malaysia","Asia",1992,70.693,18319502,7277.912802
"34","Malaysia","Asia",1997,71.938,20476091,10132.90964
"35","Malaysia","Asia",2002,73.044,22662365,10206.97794
"36","Malaysia","Asia",2007,74.241,24821286,12451.6558
"37","Mali","Africa",1952,33.685,3838168,452.3369807
"38","Mali","Africa",1957,35.307,4241884,490.3821867
"39","Mali","Africa",1962,36.936,4690372,496.1743428
"40","Mali","Africa",1967,38.487,5212416,545.0098873
"41","Mali","Africa",1972,39.977,5828158,581.3688761
"42","Mali","Africa",1977,41.714,6491649,686.3952693
"43","Mali","Africa",1982,43.916,6998256,618.0140641
"44","Mali","Africa",1987,46.364,7634008,684.1715576
"45","Mali","Africa",1992,48.388,8416215,739.014375
"46","Mali","Africa",1997,49.903,9384984,790.2579846
"47","Mali","Africa",2002,51.818,10580176,951.4097518
"48","Mali","Africa",2007,54.467,12031795,1042.581557
"49","Mauritania","Africa",1952,40.543,1022556,743.1159097
"50","Mauritania","Africa",1957,42.338,1076852,846.1202613
"51","Mauritania","Africa",1962,44.248,1146757,1055.896036
"52","Mauritania","Africa",1967,46.289,1230542,1421.145193
"53","Mauritania","Africa",1972,48.437,1332786,1586.851781
"54","Mauritania","Africa",1977,50.852,1456688,1497.492223
"55","Mauritania","Africa",1982,53.599,1622136,1481.150189
"56","Mauritania","Africa",1987,56.145,1841240,1421.603576
"57","Mauritania","Africa",1992,58.333,2119465,1361.369784
"58","Mauritania","Africa",1997,60.43,2444741,1483.136136
"59","Mauritania","Africa",2002,62.247,2828858,1579.019543
"60","Mauritania","Africa",2007,64.164,3270065,1803.151496
"61","Mauritius","Africa",1952,50.986,516556,1967.955707
"62","Mauritius","Africa",1957,58.089,609816,2034.037981
"63","Mauritius","Africa",1962,60.246,701016,2529.067487
"64","Mauritius","Africa",1967,61.557,789309,2475.387562
"65","Mauritius","Africa",1972,62.944,851334,2575.484158
"66","Mauritius","Africa",1977,64.93,913025,3710.982963
"67","Mauritius","Africa",1982,66.711,992040,3688.037739
"68","Mauritius","Africa",1987,68.74,1042663,4783.586903
"69","Mauritius","Africa",1992,69.745,1096202,6058.253846
"70","Mauritius","Africa",1997,70.736,1149818,7425.705295
"71","Mauritius","Africa",2002,71.954,1200206,9021.815894
"72","Mauritius","Africa",2007,72.801,1250882,10956.99112
"73","Mexico","Americas",1952,50.789,30144317,3478.125529
"74","Mexico","Americas",1957,55.19,35015548,4131.546641
"75","Mexico","Americas",1962,58.299,41121485,4581.609385
"76","Mexico","Americas",1967,60.11,47995559,5754.733883
"77","Mexico","Americas",1972,62.361,55984294,6809.40669
"78","Mexico","Americas",1977,65.032,63759976,7674.929108
"79","Mexico","Americas",1982,67.405,71640904,9611.147541
"80","Mexico","Americas",1987,69.498,80122492,8688.156003
"81","Mexico","Americas",1992,71.455,88111030,9472.384295
"82","Mexico","Americas",1997,73.67,95895146,9767.29753
"83","Mexico","Americas",2002,74.902,102479927,10742.44053
"84","Mexico","Americas",2007,76.195,108700891,11977.57496
"85","Mongolia","Asia",1952,42.244,800663,786.5668575
"86","Mongolia","Asia",1957,45.248,882134,912.6626085
"87","Mongolia","Asia",1962,48.251,1010280,1056.353958
"88","Mongolia","Asia",1967,51.253,1149500,1226.04113
"89","Mongolia","Asia",1972,53.754,1320500,1421.741975
"90","Mongolia","Asia",1977,55.491,1528000,1647.511665
"91","Mongolia","Asia",1982,57.489,1756032,2000.603139
"92","Mongolia","Asia",1987,60.222,2015133,2338.008304
"93","Mongolia","Asia",1992,61.271,2312802,1785.402016
"94","Mongolia","Asia",1997,63.625,2494803,1902.2521
"95","Mongolia","Asia",2002,65.033,2674234,2140.739323
"96","Mongolia","Asia",2007,66.803,2874127,3095.772271
"97","Montenegro","Europe",1952,59.164,413834,2647.585601
"98","Montenegro","Europe",1957,61.448,442829,3682.259903
"99","Montenegro","Europe",1962,63.728,474528,4649.593785
"100","Montenegro","Europe",1967,67.178,501035,5907.850937
"101","Montenegro","Europe",1972,70.636,527678,7778.414017
"102","Montenegro","Europe",1977,73.066,560073,9595.929905
"103","Montenegro","Europe",1982,74.101,562548,11222.58762
"104","Montenegro","Europe",1987,74.865,569473,11732.51017
"105","Montenegro","Europe",1992,75.435,621621,7003.339037
"106","Montenegro","Europe",1997,75.445,692651,6465.613349
"107","Montenegro","Europe",2002,73.981,720230,6557.194282
"108","Montenegro","Europe",2007,74.543,684736,9253.896111
"109","Morocco","Africa",1952,42.873,9939217,1688.20357
"110","Morocco","Africa",1957,45.423,11406350,1642.002314
"111","Morocco","Africa",1962,47.924,13056604,1566.353493
"112","Morocco","Africa",1967,50.335,14770296,1711.04477
"113","Morocco","Africa",1972,52.862,16660670,1930.194975
"114","Morocco","Africa",1977,55.73,18396941,2370.619976
"115","Morocco","Africa",1982,59.65,20198730,2702.620356
"116","Morocco","Africa",1987,62.677,22987397,2755.046991
"117","Morocco","Africa",1992,65.393,25798239,2948.047252
"118","Morocco","Africa",1997,67.66,28529501,2982.101858
"119","Morocco","Africa",2002,69.615,31167783,3258.495584
"120","Morocco","Africa",2007,71.164,33757175,3820.17523
"121","Mozambique","Africa",1952,31.286,6446316,468.5260381
"122","Mozambique","Africa",1957,33.779,7038035,495.5868333
"123","Mozambique","Africa",1962,36.161,7788944,556.6863539
"124","Mozambique","Africa",1967,38.113,8680909,566.6691539
"125","Mozambique","Africa",1972,40.328,9809596,724.9178037
"126","Mozambique","Africa",1977,42.495,11127868,502.3197334
"127","Mozambique","Africa",1982,42.795,12587223,462.2114149
"128","Mozambique","Africa",1987,42.861,12891952,389.8761846
"129","Mozambique","Africa",1992,44.284,13160731,410.8968239
"130","Mozambique","Africa",1997,46.344,16603334,472.3460771
"131","Mozambique","Africa",2002,44.026,18473780,633.6179466
"132","Mozambique","Africa",2007,42.082,19951656,823.6856205
"133","Myanmar","Asia",1952,36.319,20092996,331
"134","Myanmar","Asia",1957,41.905,21731844,350
"135","Myanmar","Asia",1962,45.108,23634436,388
"136","Myanmar","Asia",1967,49.379,25870271,349
"137","Myanmar","Asia",1972,53.07,28466390,357
"138","Myanmar","Asia",1977,56.059,31528087,371
"139","Myanmar","Asia",1982,58.056,34680442,424
"140","Myanmar","Asia",1987,58.339,38028578,385
"141","Myanmar","Asia",1992,59.32,40546538,347
"142","Myanmar","Asia",1997,60.328,43247867,415
"143","Myanmar","Asia",2002,59.908,45598081,611
"144","Myanmar","Asia",2007,62.069,47761980,944
